Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,Age,Age_Band,Has_Valid_Contact
S07214,Angela Ramos,2018-03-30,Grade 4,(732)717-7765x995,7.0,0-14,True
S07215,Nicole Norton,2007-08-19,Grade 3,869-506-9457x4595,17.0,15-19,True
S07216,Miguel Johnston,2017-09-19,Grade 3,+1-704-949-4805x083,7.0,0-14,True
S07217,John Lee,2009-07-06,Grade 2,310-999-2534x9600,15.0,15-19,True
S07218,Janet Wells,2012-03-11,Grade 1,+1-698-729-4621x3114,13.0,0-14,True
S07219,Garrett Vang,2015-08-06,Grade 5,001-515-550-3785x012,9.0,0-14,True
S07220,Anna Fields,2010-07-25,Grade 1,(235)939-5702,14.0,0-14,True
S07221,Richard Castro,2006-03-28,Grade 1,001-673-755-3154x36586,19.0,15-19,True
S07222,Judy Stewart,2013-06-11,Grade 1,383.921.5231x59996,12.0,0-14,True
S07223,Katrina Moses,2011-06-14,Grade 5,671.313.8074,14.0,0-14,True
S07224,Scott Robles,2009-08-13,Grade 2,+1-775-472-3427x85477,15.0,15-19,True
S07225,Jodi Galvan,2013-11-25,Grade 2,001-272-295-5900,11.0,0-14,True
S07226,Bryan Ponce,2007-12-01,Grade 5,789.722.4862x25578,17.0,15-19,True
S07227,Richard Johnson,2008-06-05,Grade 3,998-273-3063,17.0,15-19,True
S07228,Gary Mitchell,2006-11-30,Grade 4,001-658-294-1318,18.0,15-19,True
S07229,Terry Wall,2008-05-07,Grade 2,555-402-8765,17.0,15-19,True
S07230,Lauren White,2016-09-28,Grade 3,001-990-859-9408x10672,8.0,0-14,True
S07231,Edward Brown,2010-05-26,Grade 3,001-582-885-8761x33473,15.0,15-19,True
S07232,Richard Hamilton,2018-01-03,Grade 3,784-279-5344x2490,7.0,0-14,True
S07233,Julia Miller,2013-08-11,Grade 4,+1-355-564-2901x998,11.0,0-14,True
S07234,Tiffany Cherry,2013-06-07,Grade 2,(962)855-1426x1307,12.0,0-14,True
S07235,Christopher Banks,2017-05-30,Grade 5,(593)972-6585x488,8.0,0-14,True
S07236,Susan Garza,2010-01-06,Grade 2,(750)329-9443,15.0,15-19,True
S07237,Mitchell Perez,2006-04-28,Grade 2,941-381-3684,19.0,15-19,True
S07238,Robert Hudson,,Grade 4,(768)240-2914x2689,,Unknown,True
S07239,William Smith,,Grade 1,+1-379-549-0230,,Unknown,True
S07240,Marissa Hall,2009-09-08,Grade 5,001-883-383-8169,15.0,15-19,True
S07241,Vicki Patterson,2009-08-26,Grade 1,400-337-1673x2235,15.0,15-19,True
S07242,Edwin Mcdaniel,2013-03-14,Grade 2,654.737.5119x591,12.0,0-14,True
S07243,Jesse Kaiser,2008-04-18,Grade 3,+1-970-513-3456,17.0,15-19,True
S07244,Chelsea Hernandez,2007-08-24,Grade 3,Not Provided,17.0,15-19,True
S07245,Dr. Kristina Lee,2016-01-01,Grade 4,365.408.6137x926,9.0,0-14,True
S07246,Gina Spencer,2006-06-14,Grade 5,(363)481-5066,19.0,15-19,True
S07247,Thomas James,2012-07-03,Grade 5,(261)562-8240x21090,12.0,0-14,True
S07248,Anthony Gilbert,2009-01-06,Grade 4,2974151581,16.0,15-19,True
S07249,Dean Vargas,,Grade 1,201-366-1060,,Unknown,True
S07250,Rodney Simpson,2008-11-24,Grade 2,(761)888-7540,16.0,15-19,True
S07251,Amanda Watson,2018-02-07,Grade 1,+1-438-295-5448x2406,7.0,0-14,True
S07252,Erica Tucker,2013-06-16,Grade 3,001-945-345-2795x6569,12.0,0-14,True
S07253,Michael Young,2008-04-15,Grade 1,+1-381-749-5473x175,17.0,15-19,True
S07254,Sabrina Yates,2013-10-29,Grade 4,969.617.8728,11.0,0-14,True
S07255,Andrew Jimenez,2011-05-11,Grade 3,569-493-2772,14.0,0-14,True
S07256,Jose Hall,,Grade 4,(791)471-4714x5742,,Unknown,True
S07257,Nancy Nelson,2017-12-01,Grade 4,655.406.6257x30047,7.0,0-14,True
S07258,Julia Bryan,,Grade 1,8112223159,,Unknown,True
S07259,Ann White,2007-08-26,Grade 4,(367)768-0476,17.0,15-19,True
S07260,Sarah Morris,2015-05-11,Grade 3,(545)296-4965x2700,10.0,0-14,True
S07261,Stefanie Murphy,2016-02-17,Grade 1,993.654.7261x39630,9.0,0-14,True
S07262,Antonio Walter Dds,2014-07-27,Grade 3,+1-869-543-0691x6000,10.0,0-14,True
S07263,Chad Carter,2016-10-24,Grade 3,8143999080,8.0,0-14,True
S07264,Richard Mcdonald Iii,2011-12-17,Grade 4,414.443.8093x383,13.0,0-14,True
S07265,Matthew Glass,2012-06-16,Grade 5,+1-962-362-1048x09753,13.0,0-14,True
S07266,Charles Johnson,2008-03-02,Grade 1,5143252604,17.0,15-19,True
S07267,Lauren Hayes,2016-08-20,Grade 3,001-384-835-2915x4334,8.0,0-14,True
S07268,Scott Smith,2011-06-10,Grade 2,(660)584-2536,14.0,0-14,True
S07269,Toni Fuller,2013-05-05,Grade 2,Not Provided,12.0,0-14,True
S07270,Jason Nguyen,2008-03-02,Grade 5,+1-678-718-2602x37510,17.0,15-19,True
S07271,Dylan Steele,2006-09-21,Grade 4,320-985-6680,18.0,15-19,True
S07272,Tina Allen,2008-10-30,Grade 2,001-749-582-9065x7993,16.0,15-19,True
S07273,Sherry Rodriguez,2009-11-03,Grade 2,632-877-6135x8415,15.0,15-19,True
S07274,Charles Bryan,2015-02-20,Grade 5,001-359-694-6197x617,10.0,0-14,True
S07275,Wesley Brewer,,Grade 3,9908771552,,Unknown,True
S07276,David Payne,,Grade 2,417.689.6592x8643,,Unknown,True
S07277,Shawna Osborn,2018-12-12,Grade 5,(797)749-3269,6.0,0-14,True
S07278,Jordan Chen,2017-01-27,Grade 4,5414753995,8.0,0-14,True
S07279,Lauren Maldonado Dds,2018-08-08,Grade 5,(780)520-8865x75690,6.0,0-14,True
S07280,David Owens,2011-09-16,Grade 4,+1-783-928-3635x00452,13.0,0-14,True
S07281,Jacob Lopez,,Grade 5,001-926-321-2823x6837,,Unknown,True
S07282,Darren Lee,2009-04-07,Grade 4,801-620-7960,16.0,15-19,True
S07283,Charles Allison,2017-08-22,Grade 4,989-452-3021x07834,7.0,0-14,True
S07284,Jerome Woods,2017-02-18,Grade 2,001-997-909-5134x0209,8.0,0-14,True
S07285,Gary Wilson,2010-02-16,Grade 5,+1-438-336-3841x504,15.0,15-19,True
S07286,Nicholas Russell,2008-01-23,Grade 3,+1-405-369-3835,17.0,15-19,True
S07287,Sonya Ball,2016-03-18,Grade 4,001-574-872-9580,9.0,0-14,True
S07288,Andrew Underwood,2010-06-20,Grade 1,Not Provided,15.0,15-19,True
S07289,Tracy Rivas,2007-05-03,Grade 1,820-233-1433x15097,18.0,15-19,True
S07290,Lisa Elliott,2009-02-18,Grade 4,001-484-659-0554x005,16.0,15-19,True
S07291,Shannon Powell,2008-02-02,Grade 2,673.354.1979,17.0,15-19,True
S07292,Willie Baker,2009-09-16,Grade 4,001-559-569-6653x90606,15.0,15-19,True
S07293,Andrew Johnson,2009-08-31,Grade 3,777.775.9523x85974,15.0,15-19,True
S07294,Dominique Simpson,2012-03-25,Grade 4,001-989-846-6637,13.0,0-14,True
S07295,Keith Hudson,2012-06-04,Grade 4,001-670-684-0658x69165,13.0,0-14,True
S07296,Angel Hines,2013-11-25,Grade 4,(212)599-8121x787,11.0,0-14,True
S07297,Deborah Thomas,2008-10-14,Grade 4,265.851.6417x727,16.0,15-19,True
S07298,Sean Smith,2012-08-10,Grade 3,Not Provided,12.0,0-14,True
S07299,Patrick Moon,2009-07-09,Grade 1,255.304.5463x58272,15.0,15-19,True
S07300,Kevin Martinez,2010-11-26,Grade 1,001-235-560-9967x900,14.0,0-14,True
S07301,Renee Calhoun,2009-12-06,Grade 1,860.315.5508,15.0,15-19,True
S07302,Michelle Hughes,2013-07-23,Grade 1,281.398.5160,11.0,0-14,True
S07303,Kimberly Mendoza,2010-02-25,Grade 3,001-875-769-1747x8899,15.0,15-19,True
S07304,Carol Phillips,2008-06-10,Grade 1,001-415-987-8464x50776,17.0,15-19,True
S07305,Alice Jackson,2011-06-09,Grade 2,865.408.6015x28130,14.0,0-14,True
S07306,Rachel Morton,2018-12-01,Grade 2,(666)561-7027x58685,6.0,0-14,True
S07307,Jessica Parks,,Grade 2,272-710-9299,,Unknown,True
S07308,Charles Wells,2016-06-07,Grade 1,001-261-965-3171x5235,9.0,0-14,True
S07309,Tommy Wilson,2013-05-11,Grade 1,+1-207-761-2543x2110,12.0,0-14,True
S07310,Tamara Ortega,2009-08-21,Grade 3,485.574.5298x92063,15.0,15-19,True
S07311,Tara Smith,,Grade 1,+1-339-602-1907x46019,,Unknown,True
S07312,Melinda Strong,,Grade 1,301-709-0261x5647,,Unknown,True
S07313,Nicholas Hooper,,Grade 5,254-479-5429,,Unknown,True
S07314,Nichole Hall,2017-03-07,Grade 4,Not Provided,8.0,0-14,True
S07315,Sharon Moore,2017-02-28,Grade 5,001-716-786-8435,8.0,0-14,True
S07316,Jesse Robbins,2011-12-28,Grade 4,001-458-276-6198,13.0,0-14,True
S07317,Ryan Brandt,2007-08-20,Grade 1,(595)974-1530x368,17.0,15-19,True
S07318,Jared Smith,2009-12-25,Grade 5,(864)264-6685,15.0,15-19,True
S07319,Jaime Chung,2013-03-06,Grade 4,+1-407-360-3119x709,12.0,0-14,True
S07320,Spencer Cox Md,2016-03-02,Grade 1,+1-747-754-9681x260,9.0,0-14,True
S07321,Stephanie Fernandez,2016-03-21,Grade 3,6418440775,9.0,0-14,True
S07322,Susan Wright,2011-08-14,Grade 2,855.678.5188x6992,13.0,0-14,True
S07323,Amanda Wade,2007-08-05,Grade 4,3882370953,17.0,15-19,True
S07324,Michael Morgan,2013-05-10,Grade 2,260-614-9764x97048,12.0,0-14,True
S07325,Dalton Rodriguez,2012-12-15,Grade 3,235.273.4654,12.0,0-14,True
S07326,Christina Brown,2019-02-01,Grade 4,(532)341-0239x2129,6.0,0-14,True
S07327,David Meyer,2013-08-29,Grade 2,654-714-9890,11.0,0-14,True
S07328,Melissa Henderson,2015-01-31,Grade 5,Not Provided,10.0,0-14,True
S07329,Anthony Powell,2015-11-25,Grade 2,766-474-8897x72578,9.0,0-14,True
S07330,Wanda Williams,,Grade 2,4866771718,,Unknown,True
S07331,Daniel Benson,2017-03-18,Grade 3,001-252-796-9942x921,8.0,0-14,True
S07332,Nicole Ball,2007-07-07,Grade 1,001-444-786-9276,17.0,15-19,True
S07333,Nicole Schmidt,2008-06-08,Grade 2,847-850-9822x7184,17.0,15-19,True
S07334,Lisa Nelson,2008-09-08,Grade 4,372.548.8059,16.0,15-19,True
S07335,Theresa Murphy,2010-03-20,Grade 5,+1-902-598-9318x906,15.0,15-19,True
S07336,Daniel Henry,2013-10-19,Grade 5,(536)747-3758x18291,11.0,0-14,True
S07337,Steven Ramos,2013-01-13,Grade 3,+1-526-489-3881x090,12.0,0-14,True
S07338,Christina Brown,2017-04-22,Grade 3,001-510-736-5878x532,8.0,0-14,True
S07339,Michael Watkins,,Grade 1,394-750-9506,,Unknown,True
S07340,Nicholas Berg,2017-09-08,Grade 3,7672801545,7.0,0-14,True
S07341,Crystal Curtis,,Grade 3,001-302-656-3185x9045,,Unknown,True
S07342,Derek Norman,2017-12-29,Grade 4,001-455-624-3038,7.0,0-14,True
S07343,Dr. Hannah Shaffer Md,2013-03-19,Grade 3,309.671.6653x1323,12.0,0-14,True
S07344,Michael Smith,2008-09-10,Grade 3,(419)415-9302x421,16.0,15-19,True
S07345,Laura Mcdonald,2018-01-30,Grade 5,001-956-680-5279x9837,7.0,0-14,True
S07346,Jose Jones,2018-06-10,Grade 2,001-473-542-7353x9420,7.0,0-14,True
S07347,Wendy Sandoval,2013-12-22,Grade 3,001-429-493-4027x392,11.0,0-14,True
S07348,Bryan Carey,2010-06-08,Grade 1,(800)976-8203x8326,15.0,15-19,True
S07349,Kevin Brown,2014-06-14,Grade 5,856-240-0153x0109,11.0,0-14,True
S07350,Terry Pacheco,2016-03-08,Grade 4,407-543-2970x45826,9.0,0-14,True
S07351,Nicholas Dickson,,Grade 2,(900)964-5689x13699,,Unknown,True
S07352,Amanda Moran,,Grade 5,(265)976-8250x5738,,Unknown,True
S07353,James Petersen,,Grade 5,001-373-263-4252x5696,,Unknown,True
S07354,Matthew Rodriguez,2007-04-10,Grade 4,2476783310,18.0,15-19,True
S07355,Kenneth Willis,2006-06-08,Grade 5,Not Provided,19.0,15-19,True
S07356,Darren Tran,2017-05-08,Grade 3,(397)319-2646x699,8.0,0-14,True
S07357,Mr. Alexander Keller Jr.,,Grade 3,001-504-487-6707x46213,,Unknown,True
S07358,Brittany Dickson,2012-02-28,Grade 2,Not Provided,13.0,0-14,True
S07359,Robert Miles,2007-06-14,Grade 4,001-639-937-5934x197,18.0,15-19,True
S07360,Leah Kirk,,Grade 5,(861)666-7861x26024,,Unknown,True
S07361,Morgan Wallace,2017-12-26,Grade 1,001-401-784-9517x997,7.0,0-14,True
S07362,Robin Green,,Grade 1,001-283-734-3266,,Unknown,True
S07363,Thomas Lee,,Grade 4,(345)382-0685,,Unknown,True
S07364,Dillon Clark,2010-03-18,Grade 3,(254)296-3136,15.0,15-19,True
S07365,Thomas Mccarthy,2007-09-25,Grade 5,988-402-6711x9727,17.0,15-19,True
S07366,Gerald Larsen,2008-05-23,Grade 2,(664)719-7773x1202,17.0,15-19,True
S07367,Susan Mendez,2013-12-05,Grade 4,331-414-9942x436,11.0,0-14,True
S07368,Joseph Wilkins,2013-03-01,Grade 1,808.537.5780,12.0,0-14,True
S07369,Zachary Conner,2007-01-10,Grade 2,386-335-7674x560,18.0,15-19,True
S07370,Jeremy Martinez,2018-12-31,Grade 4,468-767-8156x783,6.0,0-14,True
S07371,Amy Spencer,2011-04-26,Grade 3,533.785.4241,14.0,0-14,True
S07372,Thomas Lopez,2015-12-15,Grade 1,458-865-3087x4915,9.0,0-14,True
S07373,Eric Santiago,2012-11-26,Grade 2,222.524.6230x25023,12.0,0-14,True
S07374,Thomas Price,2009-09-11,Grade 5,Not Provided,15.0,15-19,True
S07375,Michelle Fuentes,2009-11-02,Grade 4,363-302-8530,15.0,15-19,True
S07376,Kristen Cohen,2019-01-28,Grade 1,911.337.5953,6.0,0-14,True
S07377,Devin Rivers,2007-03-31,Grade 4,+1-904-578-2138x1574,18.0,15-19,True
S07378,Christopher Wood,2016-11-03,Grade 5,409.538.9200x028,8.0,0-14,True
S07379,Olivia Black,2009-03-13,Grade 3,235.875.0072x08127,16.0,15-19,True
S07380,William Black,2006-11-18,Grade 4,705-941-1651,18.0,15-19,True
S07381,Alicia Willis,2017-03-06,Grade 2,614-397-1508x80683,8.0,0-14,True
S07382,Jermaine Morales,2014-11-08,Grade 5,001-515-787-4888x50089,10.0,0-14,True
S07383,Jessica Webb,2010-05-03,Grade 1,(890)816-0224x40788,15.0,15-19,True
S07384,Patricia Crawford,2010-02-16,Grade 5,+1-491-615-7373x4704,15.0,15-19,True
S07385,Michael Lewis,2014-10-29,Grade 3,253-394-1546x631,10.0,0-14,True
S07386,Paul Acosta,,Grade 5,Not Provided,,Unknown,True
S07387,Julie Wallace,2012-04-02,Grade 3,(840)718-6124,13.0,0-14,True
S07388,Lisa Jackson,2015-12-25,Grade 1,384-380-8360x00599,9.0,0-14,True
S07389,Sheena Eaton,2016-01-23,Grade 4,(829)410-5094x306,9.0,0-14,True
S07390,Darrell Brooks,2014-02-24,Grade 3,602-328-0980,11.0,0-14,True
S07391,Philip Deleon,2014-08-15,Grade 1,+1-975-211-1032x97830,10.0,0-14,True
S07392,Shane Miller,2012-09-11,Grade 5,579.596.1363,12.0,0-14,True
S07393,Ralph Buck,2018-05-11,Grade 1,(362)601-1379x34908,7.0,0-14,True
S07394,Keith Chaney Jr.,2012-06-10,Grade 3,001-451-896-4166x08077,13.0,0-14,True
S07395,Harold Guerra,2014-07-22,Grade 2,+1-899-355-3394,10.0,0-14,True
S07396,Antonio Miller,2006-05-25,Grade 4,001-225-260-8704x10019,19.0,15-19,True
S07397,Daniel Hunter,,Grade 3,666.820.1353,,Unknown,True
S07398,Margaret Mcdowell,2013-12-02,Grade 2,(863)293-6338x185,11.0,0-14,True
S07399,Melissa Wood,2006-11-05,Grade 4,001-649-911-3627x678,18.0,15-19,True
S07400,Sheri Vang,2013-03-31,Grade 4,+1-849-293-8865x66811,12.0,0-14,True
S07401,Mrs. Amanda Wong,2018-04-27,Grade 3,001-679-318-3983x98851,7.0,0-14,True
S07402,Jacob Stewart,2014-01-09,Grade 5,516-899-2470,11.0,0-14,True
S07403,James Larson,,Grade 5,Not Provided,,Unknown,True
S07404,Bianca Carter,2013-06-11,Grade 1,001-798-681-6753x79687,12.0,0-14,True
S07405,Kyle Diaz,2012-08-20,Grade 5,346-970-8372,12.0,0-14,True
S07406,Jordan Bradley,,Grade 4,958-818-4245,,Unknown,True
S07407,Mark Mccoy,2013-06-01,Grade 2,998-875-0058x07800,12.0,0-14,True
S07408,Melissa Ayers,2010-07-18,Grade 1,Not Provided,14.0,0-14,True
S07409,Larry Thomas,2018-09-21,Grade 3,Not Provided,6.0,0-14,True
S07410,Christina Pollard,2016-08-28,Grade 1,Not Provided,8.0,0-14,True
S07411,Wendy Bryant,2012-03-12,Grade 1,+1-834-868-8430x4001,13.0,0-14,True
S07412,Luis Aguirre,,Grade 5,426.635.8599x4951,,Unknown,True
S07413,Charles King,2010-12-11,Grade 5,+1-635-701-7651x71625,14.0,0-14,True
S07414,Dalton Reynolds,,Grade 5,001-451-867-2161x793,,Unknown,True
S07415,Rachael Hudson,2017-09-08,Grade 2,521-277-7011x518,7.0,0-14,True
S07416,Tonya Avila,2014-07-16,Grade 4,+1-777-315-4957x42396,10.0,0-14,True
S07417,Michael Hampton Md,2018-11-19,Grade 3,Not Provided,6.0,0-14,True
S07418,Joshua Day,2009-06-24,Grade 3,(354)992-8654x977,16.0,15-19,True
S07419,Brian Gill,2007-06-25,Grade 1,(340)432-8648x820,18.0,15-19,True
S07420,Kayla Johnson Md,2017-03-10,Grade 3,786-837-7368,8.0,0-14,True
S07421,Matthew Beard,2015-11-26,Grade 2,+1-242-563-9582x25229,9.0,0-14,True
S07422,Kelly Dixon,2011-11-25,Grade 4,946-500-2952x6553,13.0,0-14,True
S07423,Mark Zhang,2012-04-06,Grade 1,918.501.6440x49163,13.0,0-14,True
S07424,Christopher Meyers,2011-08-25,Grade 2,(450)646-9889x492,13.0,0-14,True
S07425,Dr. Gary Payne,2018-10-23,Grade 2,701-420-3142x7128,6.0,0-14,True
S07426,Trevor Stark,2018-03-13,Grade 4,(856)964-0835x57157,7.0,0-14,True
S07427,Reginald Ryan,2011-04-30,Grade 5,910-942-8124x549,14.0,0-14,True
S07428,James Miller,2018-11-10,Grade 5,+1-234-630-8433x365,6.0,0-14,True
S07429,Mary Hatfield,2012-02-20,Grade 1,+1-238-259-8495x197,13.0,0-14,True
S07430,Michael Kennedy,2017-10-23,Grade 1,928-417-2726,7.0,0-14,True
S07431,Joel Anderson,2017-05-10,Grade 3,001-496-475-8294,8.0,0-14,True
S07432,Travis Edwards,2015-01-03,Grade 1,001-255-598-8300x12001,10.0,0-14,True
S07433,Dr. Katrina Hunt,,Grade 4,+1-789-603-3478x30865,,Unknown,True
S07434,Heather Day,,Grade 1,(555)381-0352,,Unknown,True
S07435,Melissa Turner,2008-02-20,Grade 2,752.200.0169,17.0,15-19,True
S07436,Carrie Buchanan,2009-03-31,Grade 3,644.264.8764x0159,16.0,15-19,True
S07437,Justin Day,2007-06-23,Grade 1,(913)725-8680,18.0,15-19,True
S07438,Corey Smith Jr.,2010-06-30,Grade 2,268.544.4682x916,14.0,0-14,True
S07439,Karen Scott,2010-05-14,Grade 4,330-842-8930,15.0,15-19,True
S07440,Sydney Anderson,2010-04-25,Grade 1,596.730.1554,15.0,15-19,True
S07441,Alexis Kelley,2009-09-28,Grade 3,916-505-0527,15.0,15-19,True
S07442,Shelley Smith,2018-12-11,Grade 5,6439980476,6.0,0-14,True
S07443,Kyle Alvarez,2010-01-14,Grade 5,824.350.7460,15.0,15-19,True
S07444,Mark Good,,Grade 1,300-438-6795,,Unknown,True
S07445,Katherine Carlson,2014-03-04,Grade 5,417.200.6721,11.0,0-14,True
S07446,Shelby Bean,,Grade 3,371-247-0465,,Unknown,True
S07447,Tiffany Ramos,2010-05-17,Grade 2,+1-950-562-6476,15.0,15-19,True
S07448,Rachel Clark,2018-02-23,Grade 2,589.370.4732x6424,7.0,0-14,True
S07449,Adam Moore,2015-05-17,Grade 4,6692975397,10.0,0-14,True
S07450,Sarah Brown,2009-01-01,Grade 2,(566)411-4723x0160,16.0,15-19,True
S07451,Anne Leon,2015-04-27,Grade 1,321.249.6108,10.0,0-14,True
S07452,Alvin Austin,2007-05-05,Grade 3,Not Provided,18.0,15-19,True
S07453,Joan Porter,2011-06-16,Grade 4,001-584-423-9650x839,14.0,0-14,True
S07454,Gregory Thomas,2011-11-22,Grade 4,Not Provided,13.0,0-14,True
S07455,Carol Mcguire,2013-08-23,Grade 5,303.269.1594x091,11.0,0-14,True
S07456,Jason Rodriguez,,Grade 3,651.594.4049,,Unknown,True
S07457,Regina Garcia Dds,2006-11-14,Grade 2,677-656-5277x66745,18.0,15-19,True
S07458,Willie Sloan,2017-02-21,Grade 5,(644)945-5108x332,8.0,0-14,True
S07459,Sean Thompson,2006-09-07,Grade 1,527-797-3414,18.0,15-19,True
S07460,Savannah Mclean,2014-12-07,Grade 2,678-782-1753x1753,10.0,0-14,True
S07461,Thomas Edwards,2012-11-09,Grade 5,(840)599-4381,12.0,0-14,True
S07462,Clifford Jones,2011-06-26,Grade 4,Not Provided,14.0,0-14,True
S07463,Joe Shepherd,2016-03-16,Grade 2,620-953-8339x2667,9.0,0-14,True
S07464,Jonathan Mcgee,2011-09-11,Grade 4,+1-500-235-6737,13.0,0-14,True
S07465,Maurice Snyder,2008-03-10,Grade 5,725.370.1991x691,17.0,15-19,True
S07466,Devon Morris,2009-02-08,Grade 1,568.246.1540,16.0,15-19,True
S07467,Paul Roy,2017-05-17,Grade 3,975-871-7285,8.0,0-14,True
S07468,Erica King,2018-12-28,Grade 3,225.379.7231,6.0,0-14,True
S07469,Victoria Richard,2008-08-21,Grade 2,001-872-804-9852x0121,16.0,15-19,True
S07470,Timothy Oliver,2008-07-05,Grade 3,(228)995-4065x437,16.0,15-19,True
S07471,Anthony Powell,2009-11-11,Grade 4,4665732486,15.0,15-19,True
S07472,Russell Wilson Dvm,2006-08-27,Grade 4,740-871-0672x740,18.0,15-19,True
S07473,Ashley Merritt,2016-07-25,Grade 4,001-969-912-5867x879,8.0,0-14,True
S07474,Jocelyn Joyce,2009-08-20,Grade 1,322.921.2496x55726,15.0,15-19,True
S07475,Andrew Soto,2012-08-24,Grade 2,469-996-2092,12.0,0-14,True
S07476,Diana Collins,2016-08-05,Grade 5,936-518-5887x091,8.0,0-14,True
S07477,Gregory Brooks,2009-07-24,Grade 5,451.286.4514,15.0,15-19,True
S07478,Nicole Holmes,2011-10-15,Grade 4,346-461-5148x7866,13.0,0-14,True
S07479,Stephanie Gibbs,,Grade 3,001-907-907-5298x2767,,Unknown,True
S07480,Beth Werner Md,2010-10-04,Grade 4,(836)824-6623x315,14.0,0-14,True
S07481,Wesley Gibson,2012-04-30,Grade 4,400.575.0913,13.0,0-14,True
S07482,Erin Miller,2012-07-19,Grade 4,772-717-5807x132,12.0,0-14,True
S07483,Megan Riley,2014-05-08,Grade 1,986.429.5847x619,11.0,0-14,True
S07484,Nicholas Herrera,,Grade 5,567-891-1982x73596,,Unknown,True
S07485,Claire Murray,2012-12-27,Grade 2,(460)284-0475x65883,12.0,0-14,True
S07486,Toni Oneill,2009-02-21,Grade 5,+1-210-666-4676x9353,16.0,15-19,True
S07487,David Rodriguez,2011-01-13,Grade 3,749-961-2263x8533,14.0,0-14,True
S07488,Mrs. Heidi Mitchell Md,2019-02-26,Grade 5,(750)609-6700x1382,6.0,0-14,True
S07489,Sandra Ortiz,2016-02-28,Grade 3,(922)676-1399x144,9.0,0-14,True
S07490,Gregory Joyce,2008-02-19,Grade 3,(530)819-0357x4209,17.0,15-19,True
S07491,Timothy Marshall,2017-01-07,Grade 2,001-795-796-3990,8.0,0-14,True
S07492,Tonya Castillo,2010-01-07,Grade 3,Not Provided,15.0,15-19,True
S07493,Michael Cooper,2007-10-09,Grade 2,+1-928-530-1541x00960,17.0,15-19,True
S07494,Jenna Watkins,2006-10-14,Grade 1,8527033242,18.0,15-19,True
S07495,Hailey Walsh,2008-10-07,Grade 1,+1-931-358-6331x3012,16.0,15-19,True
S07496,Kathleen Nguyen,2018-04-16,Grade 3,Not Provided,7.0,0-14,True
S07497,Travis Johnson,2017-04-19,Grade 5,488.769.2607,8.0,0-14,True
S07498,Katherine Allen,2014-12-29,Grade 4,645-394-4387,10.0,0-14,True
S07499,Karen Reynolds,2008-10-14,Grade 2,8473005122,16.0,15-19,True
S07500,Charles Ryan,2015-09-19,Grade 5,+1-598-706-6644x435,9.0,0-14,True
S07501,James Skinner,2016-01-24,Grade 2,431.420.0633x979,9.0,0-14,True
S07502,Larry Berry,2016-06-01,Grade 2,601.918.4587x80649,9.0,0-14,True
S07503,Breanna Ferguson,2010-07-08,Grade 5,657-692-1889,14.0,0-14,True
S07504,Mike Price Dvm,2014-11-23,Grade 1,944-627-2057x6611,10.0,0-14,True
S07505,Derek Stone,2016-03-06,Grade 3,Not Provided,9.0,0-14,True
S07506,Susan Gibbs,2016-07-22,Grade 4,814.523.8934,8.0,0-14,True
S07507,Theresa Davenport,2017-08-02,Grade 5,679-713-9715x294,7.0,0-14,True
S07508,Glenn Williams Jr.,2016-06-09,Grade 3,+1-986-685-3347x16366,9.0,0-14,True
S07509,Douglas Brown,2013-10-15,Grade 5,798.322.1012,11.0,0-14,True
S07510,Michael Sandoval,2015-02-12,Grade 4,001-938-849-0071,10.0,0-14,True
S07511,Kevin Smith,,Grade 5,(201)871-5337x83385,,Unknown,True
S07512,Karen Sanchez,2017-12-08,Grade 3,470.955.6397x55311,7.0,0-14,True
S07513,Jason Moore,2010-07-23,Grade 4,001-976-551-3383x515,14.0,0-14,True
S07514,Robert Brown,2006-04-29,Grade 1,369-671-2633x643,19.0,15-19,True
S07515,Kenneth Brown,2009-12-27,Grade 3,741.883.1178,15.0,15-19,True
S07516,Linda Franklin Dds,2009-05-14,Grade 4,001-364-878-2374,16.0,15-19,True
S07517,Kathryn Simmons Dds,2014-12-04,Grade 4,623.569.8646x7626,10.0,0-14,True
S07518,Douglas Lewis,2011-08-01,Grade 2,582.924.2811x890,13.0,0-14,True
S07519,Carl Gardner,2010-02-02,Grade 4,(446)315-9172,15.0,15-19,True
S07520,Robert Rios,2014-07-30,Grade 5,+1-415-485-3785,10.0,0-14,True
S07521,Daniel Vargas,2018-12-01,Grade 3,001-528-338-1336,6.0,0-14,True
S07522,Stephen Smith,2012-06-12,Grade 2,(643)914-5504x4259,13.0,0-14,True
S07523,Jennifer Koch,2014-03-22,Grade 3,839-821-2040x6545,11.0,0-14,True
S07524,Lori Branch,2011-06-16,Grade 1,+1-415-936-9867x4564,14.0,0-14,True
S07525,Mark Lewis,2014-06-20,Grade 1,519-212-5900,11.0,0-14,True
S07526,Samuel Ponce,2009-08-14,Grade 2,832.883.9327,15.0,15-19,True
S07527,Raven Robles,2016-05-08,Grade 2,398-654-2034x294,9.0,0-14,True
S07528,Dr. Michael Suarez,2010-05-20,Grade 3,5262356999,15.0,15-19,True
S07529,Sarah Bond,2006-11-20,Grade 4,001-917-467-5703x947,18.0,15-19,True
S07530,Melissa Williams,2016-08-28,Grade 4,218.645.7853x1545,8.0,0-14,True
